
2022/05/31 (14:31:37) | ===> btop++ v.1.2.7
2022/05/31 (14:31:37) | WARNING: Failed to join _runner thread on exit!

2022/05/31 (17:27:17) | ===> btop++ v.1.2.7
2022/05/31 (17:27:17) | WARNING: Failed to join _runner thread on exit!

2022/06/04 (15:08:32) | ===> btop++ v.1.2.7
2022/06/04 (15:08:32) | WARNING: Failed to join _runner thread on exit!

2022/06/05 (10:52:58) | ===> btop++ v.1.2.7
2022/06/05 (10:52:58) | WARNING: Failed to join _runner thread on exit!

2022/06/12 (10:42:23) | ===> btop++ v.1.2.7
2022/06/12 (10:42:23) | WARNING: Failed to join _runner thread on exit!

2022/06/15 (18:36:12) | ===> btop++ v.1.2.7
2022/06/15 (18:36:12) | WARNING: Failed to join _runner thread on exit!

2022/06/17 (09:33:08) | ===> btop++ v.1.2.7
2022/06/17 (09:33:08) | WARNING: Failed to join _runner thread on exit!

2022/06/19 (17:00:20) | ===> btop++ v.1.2.7
2022/06/19 (17:00:20) | WARNING: Failed to join _runner thread on exit!

2022/06/21 (13:36:42) | ===> btop++ v.1.2.7
2022/06/21 (13:36:42) | WARNING: Failed to join _runner thread on exit!

2022/06/23 (13:10:36) | ===> btop++ v.1.2.7
2022/06/23 (13:10:36) | WARNING: Failed to join _runner thread on exit!

2022/06/23 (19:02:14) | ===> btop++ v.1.2.7
2022/06/23 (19:02:14) | WARNING: Failed to join _runner thread on exit!

2022/06/23 (19:37:09) | ===> btop++ v.1.2.7
2022/06/23 (19:37:09) | WARNING: Failed to join _runner thread on exit!

2022/06/24 (14:04:36) | ===> btop++ v.1.2.7
2022/06/24 (14:04:36) | WARNING: Failed to join _runner thread on exit!

2022/06/25 (13:52:03) | ===> btop++ v.1.2.7
2022/06/25 (13:52:03) | WARNING: Failed to join _runner thread on exit!
